Address A,Port A,Address B,Port B
10.11.1.31,60892,10.12.0.74,445
10.11.1.31,60893,10.12.0.72,445
10.11.1.31,60894,10.12.0.73,445
10.11.1.31,60895,10.12.0.74,445
10.11.1.31,60896,10.12.0.74,139
10.11.1.79,2804,10.12.1.24,502
10.11.1.79,2805,10.12.1.24,502
10.11.1.79,2806,10.12.1.24,502
10.11.1.79,2807,10.12.1.24,502
10.11.1.79,2808,10.12.1.24,502
10.11.1.79,2809,10.12.1.24,502
10.11.1.79,2810,10.12.1.24,502
10.11.1.79,2811,10.12.1.24,502
10.11.1.79,2812,10.12.1.24,502
10.11.1.79,2813,10.12.1.24,502
10.11.1.79,2872,10.12.1.24,502
10.11.1.79,2873,10.12.1.24,502
10.11.1.79,2874,10.12.1.24,502
10.11.1.79,2875,10.12.1.24,502
10.11.1.79,2876,10.12.1.24,502
10.11.1.79,2877,10.12.1.24,502
10.11.1.79,2878,10.12.1.24,502
10.11.1.79,2879,10.12.1.24,502
10.11.1.79,2880,10.12.1.24,502
10.11.1.79,2881,10.12.1.24,502
10.11.1.79,2944,10.12.1.24,502
10.11.1.79,2945,10.12.1.24,502
10.11.1.79,2946,10.12.1.24,502
10.11.1.79,2947,10.12.1.24,502
10.11.1.79,2948,10.12.1.24,502
10.11.1.79,2950,10.12.1.24,502
10.11.1.79,3008,10.12.1.24,502
10.11.1.79,3009,10.12.1.24,502
10.11.1.79,3010,10.12.1.24,502
10.11.1.79,3011,10.12.1.24,502
10.11.1.79,3012,10.12.1.24,502
10.11.1.79,3013,10.12.1.24,502
10.11.1.79,3073,10.12.1.24,502
10.11.1.79,3074,10.12.1.24,502
10.11.1.79,3075,10.12.1.24,502
10.11.1.79,3076,10.12.1.24,502
10.11.1.79,3077,10.12.1.24,502
10.11.1.79,3078,10.12.1.24,502
10.11.1.79,3137,10.12.1.24,502
10.11.1.79,3138,10.12.1.24,502
10.11.1.79,3139,10.12.1.24,502
10.11.1.79,3140,10.12.1.24,502
10.11.1.79,3141,10.12.1.24,502
10.11.1.79,3142,10.12.1.24,502
10.11.1.79,3143,10.12.1.24,502
10.11.1.79,3144,10.12.1.24,502
10.11.1.79,3145,10.12.1.24,502
10.11.1.79,3146,10.12.1.24,502
10.11.1.79,3206,10.12.1.24,502
10.11.1.79,3207,10.12.1.24,502
10.11.1.79,3208,10.12.1.24,502
10.11.1.79,3209,10.12.1.24,502
10.11.1.79,3210,10.12.1.24,502
10.11.1.79,3211,10.12.1.24,502
10.11.1.79,3212,10.12.1.24,502
10.11.1.79,3213,10.12.1.24,502
10.11.1.79,3214,10.12.1.24,502
10.11.1.79,3215,10.12.1.24,502
10.11.1.79,3274,10.12.1.24,502
10.11.1.79,3275,10.12.1.24,502
10.11.1.79,3276,10.12.1.24,502
10.11.1.79,3277,10.12.1.24,502
10.11.1.79,3278,10.12.1.24,502
10.11.1.79,3279,10.12.1.24,502
10.11.1.79,3280,10.12.1.24,502
10.11.1.79,3281,10.12.1.24,502
10.11.1.79,3282,10.12.1.24,502
10.11.1.79,3283,10.12.1.24,502
10.11.1.79,3344,10.12.1.24,502
10.11.1.79,3345,10.12.1.24,502
10.11.1.79,3346,10.12.1.24,502
10.11.1.79,3347,10.12.1.24,502
10.11.1.79,3348,10.12.1.24,502
10.11.1.79,3349,10.12.1.24,502
10.11.1.79,3350,10.12.1.24,502
10.11.1.79,3351,10.12.1.24,502
10.11.1.79,3352,10.12.1.24,502
10.11.1.79,3353,10.12.1.24,502
10.11.1.79,3412,10.12.1.24,502
10.11.1.79,3413,10.12.1.24,502
10.11.1.79,3414,10.12.1.24,502
10.11.1.79,3415,10.12.1.24,502
10.11.1.79,3416,10.12.1.24,502
10.11.1.79,3417,10.12.1.24,502
10.11.1.79,3418,10.12.1.24,502
10.11.1.79,3419,10.12.1.24,502
10.11.1.79,3420,10.12.1.24,502
10.11.1.79,3421,10.12.1.24,502
10.11.1.80,3140,10.12.1.24,502
10.11.1.80,3141,10.12.1.24,502
10.11.1.80,3142,10.12.1.24,502
10.11.1.80,3143,10.12.1.24,502
10.11.1.80,3144,10.12.1.24,502
10.11.1.80,3146,10.12.1.24,502
10.11.1.80,3147,10.12.1.24,502